state,total_availablity,unskilled_wage_expenditure,material_expenditure,admin_expenditure,other_expenditure,total_actual_exp,year,cum_expenditure_year,cum_expenditure_state
IN-AP,73114804000.0,42151725000.0,9003504000.0,4169937999.9999995,0.0,55325167000.00001,2019,680159293000.0,313104526000.0
IN-AR,1596528000.0,848073000.0,662339000.0,76689000.0,0.0,1587101000.0,2019,680159293000.0,15954222000.0
IN-AS,14762425000.0,12267418000.0,1751375000.0,744138000.0,92000.0,14763023000.000002,2019,680159293000.0,79118146000.0
IN-BR,33007130000.0,24691536000.0,6882519000.0,2129541999.9999998,8147000.0,33711744000.0,2019,680159293000.0,221744078000.0
IN-CT,31601387000.0,23006822000.0,5587570000.0,1504833000.0,0.0,30099225000.0,2019,680159293000.0,137946233000.0
IN-GA,24407000.0,8499000.0,4653000.0,248000.0,1000.0,13401000.0,2019,680159293000.0,119633000.0
IN-GJ,8796827000.0,6522412000.0,2790055000.0,338803000.0,1026000.0,9652296000.0,2019,680159293000.0,57725968000.0
IN-HR,3758233999.9999995,2657296000.0,1098404000.0,115944000.0,34000.0,3871678000.0,2019,680159293000.0,22827233000.0
IN-HP,6780812000.0,4863426000.0,1860078000.0,366149000.0,113999.99999999999,7089767000.0,2019,680159293000.0,39205426000.0
IN-JK,10717921000.0,6910289999.999999,2561240000.0,510989999.99999994,23000.0,9982543000.0,2019,680159293000.0,43609597000.0
IN-JH,15934773000.000002,10914435000.0,5297392000.0,787973000.0,24000.0,16999824000.0,2019,680159293000.0,101904207000.0
IN-KA,45811548000.0,29758659000.000004,16752085000.0,970851000.0,123000.0,47481718000.0,2019,680159293000.0,225704497000.0
IN-KL,36766646000.0,22102847000.0,3674721000.0,1247891000.0,59000.0,27025518000.0,2019,680159293000.0,136701097000.0
IN-LA,0.0,524566000.0,120621000.0,30960000.000000004,0.0,676147000.0,2019,680159293000.0,2261788000.0
IN-MP,53003721000.0,32654430000.0,14163864000.000002,2673100000.0,2216000.0,49493610000.0,2019,680159293000.0,289498872000.0
IN-MH,19965827000.0,12734998000.0,4510327000.0,966070000.0000001,1714999.9999999998,18213110000.0,2019,680159293000.0,87375719000.0
IN-MN,6510287000.0,2520861000.0,1863270000.0,170561000.0,0.0,4554692000.0,2019,680159293000.0,29281234000.0
IN-ML,11185474000.0,6886681000.0,3724811000.0,372403000.0,0.0,10983895000.0,2019,680159293000.0,46138676000.0
IN-MZ,5737848000.0,4145058999.9999995,841981000.0,165472000.0,4000.0,5152516000.0,2019,680159293000.0,20419399000.0
IN-NL,4216901999.9999995,2395121000.0,1455384000.0,86254000.0,0.0,3936758999.9999995,2019,680159293000.0,21588977000.0
IN-OR,27877793000.0,19481716000.0,7821855000.0,1065683000.0,22000.0,28369276000.0,2019,680159293000.0,191002208000.0
IN-PB,8210159000.0,5779004000.0,1592789000.0,301528000.0,273000.0,7673594000.0,2019,680159293000.0,43512211000.0
IN-RJ,72819486000.0,49619996000.0,12735950000.0,4661075000.0,266000.0,67017287000.0,2019,680159293000.0,346626710000.0
IN-SK,898648000.0,587923000.0,275657000.0,47047000.0,28000.000000000004,910654999.9999999,2019,680159293000.0,4052304000.0
IN-TN,57383810000.0,42591681000.0,9372190000.0,1989207000.0,1000.0,53953079000.0,2019,680159293000.0,326341617000.0
IN-TG,22467845000.0,16845666000.0,4215608999.9999995,871895999.9999999,0.0,21933171000.0,2019,680159293000.0,137918599000.0
IN-TR,8234764000.0,6222703000.0,1708713000.0,643272000.0,11000.0,8574699000.000001,2019,680159293000.0,38988720000.0
IN-UP,61888987000.0,45151448000.0,12618794000.0,2754022000.0,0.0,60524264000.0,2019,680159293000.0,372631540000.0
IN-UT,5089302000.0,3692369999.9999995,1589461000.0,278993000.0,2000.0,5560826000.0,2019,680159293000.0,27761164000.0
IN-WB,89125235000.0,48260880000.0,24348034000.0,2186962000.0,14761000.000000002,74810637000.0,2019,680159293000.0,296171209000.0
IN-AN,65384000.0,30947000.000000004,1768000.0,13154000.0,0.0,45869000.0,2019,680159293000.0,202216000.0
IN-DN,0.0,0.0,0.0,0.0,0.0,0.0,2019,680159293000.0,0.0
IN-LD,2775000.0,943000.0,45000.0,92000.0,0.0,1080000.0,2019,680159293000.0,2891000.0
IN-PY,170434000.0,149255000.0,4704000.0,17163000.0,0.0,171122000.0,2019,680159293000.0,753896000.0
IN-AP,103654802000.0,59514196000.0,45569637000.0,3922267000.0,0.0,109006100000.0,2020,1107983803000.0,313104526000.0
IN-AR,4759765000.0,3548783999.9999995,1158220000.0,146635000.0,55000.00000000001,4853694000.0,2020,1107983803000.0,15954222000.0
IN-AS,28773757000.0,19142246000.0,3486798000.0000005,852740000.0,0.0,23481784000.0,2020,1107983803000.0,79118146000.0
IN-BR,69405081000.0,43970083000.0,17878999000.0,2402541000.0,4606000.0,64256229000.0,2020,1107983803000.0,221744078000.0
IN-CT,45172233000.0,31892349000.0,7535605000.0,1702941999.9999998,0.0,41130896000.0,2020,1107983803000.0,137946233000.0
